758670,3.29,1712,-296,-16208
758684,3.62,1532,-172,-16244
758698,4.27,1220,-104,-16028
758712,4.58,1320,-44,-16120
758726,4.92,1576,-412,-16068
758740,5.25,1100,-112,-15792
758754,4.60,1280,-256,-16092
758768,4.92,1804,-320,-16032
758782,5.23,1608,-176,-16156
758796,6.55,1852,-384,-15980
758810,6.86,1784,-420,-16000
758824,7.19,1828,-172,-16068
758838,7.19,1704,-248,-16064
758852,8.49,1416,-336,-16000
758866,8.85,1600,-488,-15908
758880,8.85,1148,-176,-15968
758894,10.22,748,-296,-16280
758909,10.56,776,-104,-16120
758924,10.56,1500,-164,-15940
758939,11.94,2056,-196,-16016
758954,11.58,1572,-380,-16452
758969,16.34,1200,120,-16140
758984,16.02,1772,-236,-16180
758999,16.98,2792,-276,-15888
759075,16.65,2244,-440,-15992
759090,17.29,200,-232,-15976
759105,17.94,324,-264,-16120
759120,18.59,1924,-412,-16152
759135,19.21,2288,-360,-16024
759150,18.57,736,-228,-16084
759165,19.23,1112,-280,-16008
759180,19.88,2484,-308,-16064
759195,21.47,2304,-308,-16028
759210,22.11,1092,-276,-16088
759225,24.46,2132,-240,-16124
759240,23.00,2052,-232,-16168
759255,23.29,1288,-464,-16172
759270,24.46,1768,-132,-16064
759285,25.62,2048,-96,-16200
759301,28.52,1264,-184,-15932
759316,26.79,656,-128,-16092
759332,27.95,1624,-148,-16072
759348,27.95,1128,-164,-16044
759364,28.81,-8,-176,-16044
759380,29.62,824,-88,-15900
759396,30.94,944,-160,-16120
759412,31.69,104,-216,-16072
759428,33.01,996,-152,-16108
759444,33.01,1260,-76,-16144
759460,34.32,1520,60,-16064
759476,34.83,2096,-260,-14476
759492,36.12,284,72,-18812
759508,36.56,1908,-548,-16344
759524,37.95,1180,-224,-16228
759540,38.88,1108,-432,-15252
759556,39.12,612,-524,-15984
759572,40.05,280,-244,-16608
759588,40.97,1288,-272,-17428
759604,42.34,1824,-528,-16068
759620,43.39,2024,-432,-15440
759637,44.81,972,-388,-16232
759654,45.81,1352,-64,-15956
759671,46.43,1140,-232,-16112
759688,47.42,620,-360,-16724
759705,47.63,1344,-144,-16156
759722,49.43,616,-124,-16028
759739,49.24,1160,-216,-16056
759756,50.11,1528,-188,-15916
759773,50.63,1496,-96,-16004
759790,52.86,828,-264,-16156
759807,49.77,2112,-108,-16156
759824,50.28,2404,336,-15972
759840,41.88,10552,-3732,-19676
759857,55.26,6884,772,-1752
759874,55.60,208,2716,11672
759891,55.57,2920,-3488,-4128
759908,54.73,-32768,4752,-22444
759925,50.27,-5464,296,-19728
759942,49.94,-2236,-1356,5352
759959,50.10,3436,-788,-24264
759976,50.27,9240,-316,-13876
759993,55.74,10468,-356,-17600
760010,50.10,3792,-656,-16916
760027,49.77,3632,-592,-16212
760044,50.27,2940,-424,-16200
760061,49.92,1484,-124,-16196
760078,56.54,140,-96,-16104
760095,49.77,-728,-76,-16040
760112,50.28,-932,24,-15936
760129,50.28,3812,-572,-17620
760146,56.27,-3016,-1448,-21756
760163,56.29,3200,-1024,-12360
760180,50.61,-3200,-12,-17492
760197,56.25,7564,220,-11804
760214,56.27,3308,-132,-10332
760231,56.27,-248,-328,-16392
760248,49.75,72,16,-16268
760265,50.63,3356,-604,-14556
760282,56.27,16,-1548,-16108


