999620,56.10,-4180,-5212,-15540
999637,55.57,-3020,-4924,-17248
999654,55.75,-9728,-608,-17584
999671,55.07,-12760,-160,-11520
999688,54.90,-8960,-1440,-13668
999705,54.21,-6128,-1680,-14308
999722,53.01,-6600,576,-16500
999739,52.50,-8236,-1352,-16196
999756,50.95,-5672,-2060,-15112
999773,49.75,-8780,-556,1272
999790,49.43,-5104,-1028,-19944
999807,48.43,-5460,732,-6792
999824,46.01,-4360,468,-12852
999840,44.40,1140,888,-13236
999856,43.22,-1616,1300,-18192
999872,41.88,-4160,4504,-6704
999888,39.81,7220,-328,-29352
999904,37.73,4400,-312,-11688
999920,36.12,1412,2588,-3568
999936,35.36,1656,-1272,-6204
999952,33.27,1376,-648,-32768
999968,31.18,-480,-2028,-8504
999984,30.41,3424,-692,-14104
1000000,28.81,-376,1536,-6284
1000015,26.79,4756,-1932,-29720
1000031,28.23,-1024,544,-7084
1000046,24.16,3088,-336,-8984
1000061,22.71,3136,1352,-15016
1000076,21.78,2280,12,-5560
1000091,19.55,2232,-1900,-18804
1000106,19.55,2464,844,-13312
1000121,18.25,8056,-2428,-24924
1000136,17.94,6916,-1388,-22860
1000151,16.34,2876,1936,-10008
1000167,29.10,5712,-2828,-18692
1000182,16.65,2780,-760,-17952
1000197,12.61,7176,-1448,-12128
1000212,11.23,4544,-2556,-13516
1000226,9.88,6388,-2692,-15056
1000240,8.16,2516,-1652,-14088
1000254,6.53,5576,-2084,-23180
1000268,6.21,6564,-1860,-22128
1000282,5.56,5296,400,-12296
1000296,5.88,5272,-3048,-6376
1000310,3.94,4644,-944,-15336
1000324,4.27,5560,-644,-20280
1000338,4.25,6120,-2088,-24460
1000352,3.29,8300,-1116,-15736
1000366,2.97,6164,-240,-16452
1000380,2.64,3384,128,-18804
1000394,2.32,3540,-1476,-21924
1000408,1.99,4256,-8,-16324
1000422,2.64,2616,108,-17652
1000436,1.66,4684,-636,-15324
1000450,1.99,3744,-1320,-17296
1000464,2.64,3460,-788,-16248
1000478,1.66,1780,-660,-16596
1000492,3.62,2428,-52,-15396
1000506,3.94,-1996,3904,-17412
1000520,3.62,3488,1352,-17392
1000534,3.62,3836,-2220,-16524
1000548,3.62,808,-1832,-15768
1000562,3.62,-40,-480,-16100
1000576,3.62,1420,-488,-15820
1000590,3.62,780,-224,-16112
1000604,3.62,832,-164,-15796
1000618,3.62,660,-240,-16116
1000632,3.62,644,-188,-15828
1000646,3.62,740,-296,-16144
1000660,3.62,668,-240,-16208
1000674,3.62,652,-164,-16064
1000688,3.62,700,-296,-16104
1000702,3.62,664,-304,-16096
1000716,3.62,688,-188,-15988
1000730,3.62,1364,1088,-16116
1000744,3.62,1428,1200,-15908
1000758,3.62,1084,1088,-16036
1000772,3.62,724,948,-16020
1000786,3.62,464,584,-15960
1000800,3.62,428,-192,-16180
1000814,3.62,620,-196,-16060
1000828,3.60,492,-484,-15892
1000842,3.62,308,-932,-16284
1000856,3.62,628,-1392,-16116
1000870,4.92,540,-1848,-16068
1000884,3.94,476,-1260,-16112
1000898,3.94,756,-820,-15988
1000912,3.94,896,-260,-16172
1000926,3.94,1020,-28,-16092
1000940,3.94,892,84,-16156
1000954,5.25,544,-128,-15824
1000968,4.25,540,-152,-15920
1000982,4.27,532,-204,-16112
1000996,4.25,572,-60,-16104
1001010,5.56,728,-84,-15912
1001024,5.56,724,24,-16116
1001038,5.56,796,280,-16028
1001052,5.56,672,548,-16224
1001066,4.60,564,84,-15992
1001080,4.60,688,128,-16044
1001094,4.60,584,20,-16008
1001108,4.58,708,96,-15980
1001122,5.56,764,172,-16168
1001136,5.57,436,-600,-15936
1001150,5.57,436,-708,-15860
1001164,5.57,784,16,-15980
1001178,5.56,748,-616,-16208
1001192,5.56,832,-1196,-15992
1001206,4.60,656,-1264,-16152
1001220,4.60,816,-1504,-15956
1001234,4.60,1936,-584,-16076
1001248,4.60,3692,-1196,-16280
1001262,5.56,3116,-376,-15884
1001276,3.62,2512,36,-16136
1001290,3.29,2624,4,-16404
1001304,2.64,2892,-324,-15820
1001318,3.94,3456,-532,-15372
1001332,1.99,1768,-160,-16588
1001346,2.64,2488,-372,-15992
1001360,1.99,1820,-148,-16148
1001374,2.64,4212,-744,-15784
1001388,1.99,2652,-164,-16664
1001402,2.32,2512,-456,-15804
1001416,2.97,3676,-696,-15752
1001430,2.32,1892,-208,-17404
1001444,3.62,4128,-652,-14664
1001458,2.64,3712,-664,-16048
1001472,3.94,3044,12,-13896
1001486,3.94,2512,-148,-17476
1001500,3.94,4604,-1264,-16640
1001514,5.25,2560,64,-15400
1001528,6.21,4100,-1160,-13284
1001542,7.19,4972,-848,-16420
1001556,8.16,360,624,-12056
1001570,7.84,1592,-64,-11120
1001584,8.85,2144,352,-14696
1001598,9.88,700,-24,-17804
1001612,9.54,-1504,548,-18028
1001627,10.56,5460,-648,-15224
