984768,2.64,2136,-196,-16196
984782,1.99,3092,-720,-15368
984796,2.64,3640,-260,-16700
984810,2.97,2404,-588,-15608
984832,2.64,4740,-1672,-15304
984846,3.29,3876,-1100,-15916
984860,3.62,2500,-140,-15688
984874,3.62,4244,-884,-13124
984888,3.62,2472,-384,-17256
984902,4.92,3556,188,-17224
984916,4.92,228,-164,-14084
984933,5.57,3344,-536,-16808
984947,5.56,4452,-576,-20512
984961,6.55,2844,-1224,-19700
984975,7.53,1844,464,-18688
984989,8.16,2176,-180,-20196
985003,9.19,484,552,-18820
985017,10.22,4652,-940,-16576
985032,11.25,2336,660,-15132
985047,11.92,3740,-832,-15912
985062,12.26,2100,-860,-17804
985077,14.32,1556,-624,-11280
985092,16.02,192,-244,-19492
985107,16.34,5364,-1540,-15436
985122,17.61,5856,-2988,-13580
985137,17.63,6620,-2312,-14028
985152,17.61,4764,-900,-13116
985167,17.63,5920,-1244,-16572
985182,18.59,3228,-692,-15552
985197,19.53,2584,-288,-12856
985212,21.45,2876,-696,-16712
985227,23.29,4616,-1000,-17700
985242,22.71,2772,-864,-24264
985257,25.91,1680,-468,-15364
985272,25.33,972,-416,-17404
985287,26.48,3524,-1144,-15252
985303,27.65,-2888,272,-20716
985319,28.52,3488,-892,-11540
985335,29.36,3428,492,-14036
985351,30.66,1776,-1996,-15896
985367,32.50,4348,-48,-13368
985383,34.32,372,1732,-20620
985399,35.36,3444,848,-14964
985415,36.34,-3604,1064,-27536
985431,38.66,6352,-1808,-18240
985447,39.34,1672,256,-13236
985463,40.97,672,1984,-13344
985479,42.57,3676,-728,-12656
985495,44.21,8452,-2212,-22992
985512,45.40,6296,-392,-15740
985529,47.21,-8164,4668,-31072
985546,49.43,6068,-1356,-14724
985563,51.31,11000,-452,-6016
985580,52.84,2768,-300,-15800
985597,55.24,3852,-152,-12676
985614,56.25,-10608,32767,8288
985631,56.82,27724,-4620,-32768
985648,57.25,32767,-3220,-32768
985665,56.82,-3300,-1208,4444
985682,56.82,-8716,1616,-660
985699,57.09,-10288,-1972,-30744
985716,56.39,-16096,-3432,32767
985733,56.66,4904,-992,-27704
985750,56.25,15232,-2108,3048
985774,56.06,32767,1488,-18052
985791,55.57,14972,-1452,-16856
985808,56.08,5780,-6344,-13924


