1053903,2.64,1284,428,-15936
1053917,3.94,2436,-4,-15380
1053931,4.25,3324,-872,-19188
1053945,5.56,3788,-1392,-14668
1053959,4.60,3348,-144,-15788
1053973,4.60,552,340,-16128
1053987,5.57,1396,-4,-14840
1054001,6.86,5552,-1584,-11300
1054015,5.56,5492,-1468,-14600
1054029,6.53,3304,-44,-16348
1054043,6.53,3400,-864,-11744
1054057,8.49,1696,-456,-15468
1054071,8.16,2800,248,-20880
1054085,9.19,792,-492,-23676
1054100,11.58,3972,-908,-13004
1054115,12.26,2728,-300,-19128
1054130,12.61,2600,-1380,-17236
1054145,14.66,1112,448,-14812
1054160,16.02,1400,-900,-20808
1054175,16.34,3632,-760,-18428
1054190,17.61,3764,-756,-15188
1054206,31.45,2148,-268,-19512
1054221,17.63,4656,-740,-19572
1054236,18.59,5328,-500,-17576
1054251,23.00,1400,-160,-14660
1054266,20.19,2880,20,-11796
1054281,20.19,-172,1244,-18292
1054296,22.11,-1000,-1108,-10436
1054311,22.71,2612,-564,-13352
1054326,24.16,2388,-484,-16736
1054341,26.50,5096,-1724,-13692
1054356,26.79,5016,-320,-19084
1054372,29.64,10960,-3532,-19512
1054388,29.62,880,-404,-8704
1054404,29.64,6896,-1476,-13904
1054420,30.92,4860,256,-15512
1054436,32.76,768,408,-19312
1054452,33.27,-384,-72,-19040
1054468,35.60,4360,-992,-17164
1054484,36.56,-4380,712,-16716
1054500,37.73,5132,-1684,-15836
1054516,40.51,5592,-940,-9868
1054532,41.19,6984,-1932,-13948
1054548,42.79,7404,-504,-11476
1054564,44.02,7236,-1080,-14136
1054581,45.21,1228,1128,-5516
1054598,47.44,488,2992,-19644
1054615,49.24,3940,-1292,-13412
1054632,51.14,-1888,2324,-14116
1054649,52.67,7424,-1832,-16164
1054666,54.73,6488,148,-14460
1054683,56.54,-32768,-5220,-32768
1054700,57.11,32767,-4144,-24728
1054717,50.95,20496,17424,-17424
1054734,57.66,-60,-776,3424
1054751,57.25,-12380,4720,-2788
1054768,57.11,-6496,1444,-7396
1054785,56.84,2196,-852,-1048
1054802,56.54,-20676,17864,-20964
1054819,56.84,-7796,-27552,32767
1054836,56.41,1320,-5424,2912
1054853,55.43,10288,-2368,-6728
1054870,55.58,19284,-3280,-17852
1054887,55.07,3944,-3380,-16592
1054904,55.09,4044,-2896,-16164
1054921,55.05,456,12,-16188
1054938,55.07,576,-188,-16212
1054955,55.07,816,-136,-15944
1054972,55.07,692,-252,-16092
1054989,55.07,2004,-484,-16072
1055006,55.07,7120,-1628,-16636
1055023,55.24,9304,-2492,-16228
1055040,55.07,6660,-2456,-14000
1055057,55.41,-32768,2000,-32768
1055074,56.39,6996,-2480,-7216
1055091,56.27,4636,-1836,-17320
1055108,56.54,2404,268,-15936
1055125,56.39,-21684,11576,-13312
1055142,56.54,-924,-912,-19432
1055159,56.53,-2124,-396,-11936
1055176,56.39,-5524,308,-17008
1055193,56.54,3052,-484,-14084
1055210,55.93,2268,-784,-17072
1055227,56.10,7260,-240,-16932
1055244,56.39,6196,-564,-15480
1055261,55.91,3884,-284,-16748
1055278,56.39,5004,-368,-15056
1055295,55.74,3940,-448,-14836
1055312,55.91,1916,-84,-14744
1055329,56.53,-208,292,-16868
1055346,56.23,-904,176,-12904
1055363,56.23,-3072,284,-14088
1055380,56.25,-2792,-472,-15036
1055397,56.53,-4540,-104,-17880
1055414,56.53,6708,-184,-18684
1055431,56.37,720,956,-13128
1055448,55.91,732,-164,-16196
1055465,56.25,6036,-776,-16164
1055482,56.25,1812,-36,-15944
1055499,56.23,2116,108,-16160
1055516,55.91,864,-268,-16176
1055533,56.37,-112,-448,-15428
1055550,56.39,388,-492,-16012
1055567,56.39,572,-232,-16020
1055584,56.39,1392,-316,-16036
1055601,56.41,652,-356,-15964
1055618,56.41,560,-20,-15864
1055635,56.41,844,-168,-15868
1055652,56.41,816,-268,-15916
1055669,56.41,904,-52,-15976
1055686,56.39,788,-164,-16176
1055703,56.41,684,-200,-16228
1055720,56.41,832,-176,-15972
1055737,56.39,720,-320,-16036
1055754,56.41,824,-272,-16040
1055771,56.39,700,-216,-16036
1055788,56.41,808,-256,-15812
1055805,56.41,508,-228,-16132
1055822,56.41,876,-116,-15880
1055839,56.39,580,-184,-16048
1055856,56.39,740,-144,-16152
1055873,56.39,764,-112,-16180

