729766,1.99,2212,-16,-16108
729780,2.64,1752,-416,-16180
729794,2.32,1344,-164,-16024
729808,3.94,1332,-312,-16092
729822,2.32,1288,-232,-16168
729836,2.97,924,-348,-16036
729850,3.62,904,-276,-15984
729864,5.25,1332,-192,-16028
729878,3.62,1036,-124,-16008
729892,3.94,1064,-216,-15968
729906,4.60,1400,-352,-16104
729920,3.94,1568,-348,-16016
729934,4.58,1664,-392,-16044
729948,4.92,1088,-228,-16056
729962,5.56,1260,-440,-16108
729976,5.88,1420,-228,-16032
729990,5.25,1396,-328,-15980
730004,6.86,1040,-304,-16024
730018,7.20,1452,-484,-15960
730032,7.51,984,-176,-16116
730046,7.84,1020,-344,-16004
730060,8.16,1040,-292,-16064
730074,8.49,1132,-308,-16028
730088,8.85,704,-248,-15928
730102,9.19,660,-200,-16020
730116,9.54,1368,-344,-16120
730130,9.86,1072,-180,-16040
730144,10.20,1236,-144,-15584
730159,11.92,1916,-244,-15924
730174,13.98,1820,-292,-16228
730189,16.98,1160,-324,-16056
730204,16.98,864,-40,-16128
730282,45.22,2448,-512,-16144
730297,16.34,2824,-528,-16008
730312,16.02,2820,-444,-16048
730327,16.98,2088,-340,-16012
730342,16.65,1632,-388,-16024
730357,17.29,1952,-140,-16048
730372,18.26,2396,-328,-16128
730387,18.90,1852,-348,-16040
730402,19.53,632,-244,-15844
730417,19.21,1384,-164,-16020
730432,19.86,2328,-328,-15984
730447,20.49,1120,-100,-16076
730462,21.13,500,-104,-16168
730477,23.00,1604,-276,-16172
730492,22.42,1948,-240,-16012
730507,23.00,1092,-280,-16152
730522,24.18,1088,-288,-15984
730537,26.48,1884,-36,-16080
730552,25.04,1440,-252,-15956
730567,26.19,600,-272,-15924
730582,27.35,672,-332,-16060
730598,28.81,1388,-88,-16000
730614,29.62,252,-280,-15836
730630,29.89,-24,-164,-16072
730646,29.36,508,-160,-16052
730662,30.94,208,-268,-16008
730678,31.20,-32,-240,-16048
730694,31.97,856,-360,-16136
730710,32.76,780,-176,-16020
730726,33.01,996,-180,-16080
730742,33.80,2088,-208,-15624
730758,34.57,712,52,-15656
730774,36.58,1316,356,-15980
730790,36.10,1824,-532,-15844
730806,38.18,2100,-148,-15884
730822,37.73,2060,-684,-15480
730838,38.19,1072,-476,-16232
730854,39.12,684,-440,-16368
730870,40.71,704,-580,-16192
730886,40.71,3300,-1100,-13116
730902,43.00,1504,-456,-16376
730918,43.41,-172,-736,-17328
730934,43.39,2676,-296,-15868
730950,44.20,1460,-300,-16184
730967,46.01,1444,-288,-16008
730984,47.42,1712,-176,-16076
731001,47.01,1044,-272,-16048
731018,48.43,1352,-276,-16152
731035,49.75,1488,-276,-16024
731052,49.94,996,-420,-16144
731069,49.94,1744,-316,-15972
731086,52.67,1832,-196,-15980
731103,52.00,1444,-360,-16032
731120,53.35,1456,-252,-16180
731137,49.77,1524,136,-15964
731154,52.32,-32768,-3052,-32768
731171,49.58,21244,3720,-16844
731188,50.44,-32768,-21700,-18924
731205,55.91,3260,-2692,-2032
731222,54.73,11660,-14928,2444
731239,54.90,10772,676,-9540
731256,49.60,-5132,-536,-32768
731273,49.75,360,-1676,-18432
731290,49.92,2904,-176,-11880
731307,56.53,9052,4,-16944
731324,49.60,9904,-72,-15684
731341,56.08,4192,-244,-15424
731358,56.08,3036,-308,-16040
731375,50.28,2140,-392,-16024
731392,49.94,1012,-232,-16008
731409,50.10,-196,-188,-16012
731426,56.25,-760,-12,-16124
731443,56.41,-17796,-2628,-26520
731460,56.25,-8736,792,-18816
731477,56.25,-556,-1916,-15848
731494,49.75,5852,404,-8952
731511,56.54,7144,-424,-10260
731528,56.53,-4140,-188,-13948
731545,56.53,496,-564,-17232
731562,56.53,2436,-276,-15164
731579,56.54,1332,64,-16572
731596,56.53,140,28,-15980
731613,56.54,88,64,-16640
731630,56.53,2504,-460,-15364
731647,56.66,464,-156,-16256
731664,49.77,-208,-212,-16252
731681,56.53,968,-220,-15984
731698,56.53,1396,-328,-15788
731715,56.56,484,-172,-16072
731732,56.54,60,-284,-16268
731749,56.54,1128,-296,-15788
731766,49.75,1064,-260,-15992

