1445153,2.64,2440,-516,-16968
1445167,4.27,1896,-120,-16772
1445181,3.60,2988,-508,-15792
1445195,3.94,1484,128,-16308
1445209,5.25,1560,-16,-16100
1445223,5.57,2652,-364,-16088
1445237,5.56,3104,-444,-15560
1445251,5.88,1868,-480,-15648
1445265,5.88,1760,-144,-15936
1445279,5.88,2012,-372,-16272
1445293,7.19,1656,36,-16708
1445307,7.19,948,12,-15776
1445321,7.19,1264,-276,-15960
1445335,8.16,1844,-512,-16020
1445349,9.54,1216,-428,-16292
1445363,9.54,1540,-692,-15804
1445377,9.54,2556,-604,-15780
1445392,10.56,1540,-356,-17168
1445407,11.58,2196,-632,-16032
1445422,11.23,1376,-724,-15800
1445437,13.63,512,-548,-17440
1445452,12.95,1512,-144,-16316
1445467,13.63,3220,-580,-15460
1445482,16.02,2012,-164,-15824
1445497,16.34,612,-144,-16400
1445512,16.98,1852,-216,-15148
1445527,17.30,2572,-292,-15416
1445558,19.23,1860,40,-16500
1445573,20.49,2196,-520,-15632
1445588,19.55,1448,40,-15368
1445603,21.15,1912,-764,-16392
1445618,22.42,1172,-440,-16532
1445633,25.31,1964,-176,-15464
1445648,22.71,1044,-392,-16056
1445663,23.56,1484,-72,-16460
1445678,27.35,2568,-324,-15972
1445693,25.62,1600,-236,-16268
1445708,26.50,1664,-532,-16116
1445724,29.10,3048,-176,-14440
1445740,27.94,1600,-52,-17320
1445756,29.38,1760,-176,-16140
1445772,30.41,2084,-580,-15764
1445788,31.45,2656,-324,-16940
1445804,32.48,2288,-556,-16416
1445820,33.53,2596,32,-15740
1445836,33.79,2912,-400,-15788
1445852,35.35,2136,-316,-17036
1445868,36.10,1556,-200,-15200
1445884,37.25,1628,-156,-17248
1445900,37.95,1780,-264,-16196
1445916,39.57,1536,-164,-15080
1445932,41.18,1996,240,-15388
1445948,41.66,2788,-308,-16484
1445964,43.80,1448,140,-14464
1445980,44.61,1896,296,-15268
1445997,45.41,928,88,-14684
1446014,46.82,1584,-416,-16092
1446031,48.21,1256,244,-14976
1446048,49.58,2616,-916,-16736
1446065,50.61,4,176,-18388
1446082,52.48,2932,-244,-14224
1446099,54.02,2736,-40,-15736
1446116,55.57,2848,-156,-16328
1446133,56.66,2968,56,-16032
1446150,58.22,-32768,-13636,-32768
1446167,58.65,10728,-1076,7840
1446184,58.77,-6416,-10152,26156
1446201,59.36,4260,-764,-4640
1446218,59.77,-32768,4320,-352
1446235,58.93,4736,-1244,-5876
1446252,59.20,18280,5876,-32768
1446269,58.93,-1168,-628,-25824
1446286,58.50,-3560,836,-15668
1446303,58.09,14368,-1116,-21284
1446320,57.66,10080,584,-32768
1446337,57.52,16032,24,-15512
